Filename,Prediction,Actual,Predicted
real/IMG_3311_1080p-009-00.png,0.0,0,0
real/IMG_3311_1080p-012-00.png,8.34465e-07,0,0
real/IMG_3311_1080p-013-00.png,0.0,0,0
real/IMG_3311_1080p-014-00.png,0.0,0,0
real/IMG_3311_1080p-015-00.png,1.1920929e-07,0,0
real/IMG_3311_1080p-016-00.png,1.1920929e-07,0,0
real/IMG_3311_1080p-017-00.png,4.7683716e-07,0,0
real/IMG_3311_1080p-018-00.png,0.0,0,0
real/IMG_3311_1080p-019-00.png,2.3841858e-07,0,0
real/IMG_3311_360p-009-00.png,0.0,0,0
real/IMG_3311_360p-012-00.png,0.0,0,0
real/IMG_3311_360p-013-00.png,0.0,0,0
real/IMG_3311_360p-014-00.png,0.0,0,0
real/IMG_3311_360p-015-00.png,0.0,0,0
real/IMG_3311_360p-016-00.png,0.0,0,0
real/IMG_3311_360p-017-00.png,0.0,0,0
real/IMG_3311_360p-018-00.png,0.0,0,0
real/IMG_3311_360p-019-00.png,0.0,0,0
fake/IMG_3311_1080p-073-00.png,0.00010871887,1,0
fake/IMG_3311_1080p-074-00.png,0.0007916093,1,0
fake/IMG_3311_1080p-076-00.png,0.0,1,0
fake/IMG_3311_1080p-079-00.png,0.0,1,0
fake/IMG_3311_1080p-080-02.png,7.3075294e-05,1,0
fake/IMG_3311_1080p-081-00.png,0.00014090538,1,0
fake/IMG_3311_1080p-085-00.png,4.4941902e-05,1,0
fake/IMG_3311_1080p-086-00.png,7.1525574e-06,1,0
fake/IMG_3311_1080p-088-03.png,1.1920929e-07,1,0
fake/IMG_3311_1080p-089-03.png,5.1259995e-06,1,0
fake/IMG_3311_1080p-096-04.png,0.0,1,0
fake/IMG_3311_1080p-097-04.png,0.0,1,0
fake/IMG_3311_360p-026-00.png,0.0,1,0
fake/IMG_3311_360p-027-00.png,0.0,1,0
fake/IMG_3311_360p-080-02.png,0.00037252903,1,0
fake/IMG_3311_360p-081-02.png,0.00023657084,1,0
fake/IMG_3311_360p-085-00.png,1.1920929e-06,1,0
fake/IMG_3311_360p-086-00.png,1.5258789e-05,1,0
fake/IMG_3311_360p-088-02.png,2.2768974e-05,1,0
fake/IMG_3311_360p-089-00.png,5.054474e-05,1,0
fake/IMG_3311_360p-095-03.png,0.0,1,0
fake/IMG_3311_360p-097-03.png,0.0,1,0
